,Season,Episodes,Episodes,Originally aired,Originally aired,Avg. U.S. viewers(millions)
,Season,Episodes,Episodes.1,First aired,Last aired,Avg. U.S. viewers(millions)
0,1,10,10,"April 17, 2011","June 19, 2011",2.52[13]
1,2,10,10,"April 1, 2012","June 3, 2012",3.80[13]
2,3,10,10,"March 31, 2013","June 9, 2013",4.97[14]
3,4,10,10,"April 6, 2014","June 15, 2014",6.84[15]
4,5,10,10,"April 12, 2015","June 14, 2015",6.88[16]
5,6,10,10,"April 24, 2016","June 26, 2016",7.69[17]
6,7,7,7,"July 16, 2017","August 27, 2017",10.26[18]
7,8,6,6,"April 14, 2019","May 19, 2019",11.99[19]
