,No.,Title,Original air date,U.S. viewers(millions),Unnamed: 4
0,1,Game of Thrones: A Day in the Life,"February 8, 2015",,
1,"A half-hour documentary that covered one day of production of season 5 on three sets in Belfast, Dubrovnik and Osuna from the viewpoint of key crew members.[94]","A half-hour documentary that covered one day of production of season 5 on three sets in Belfast, Dubrovnik and Osuna from the viewpoint of key crew members.[94]","A half-hour documentary that covered one day of production of season 5 on three sets in Belfast, Dubrovnik and Osuna from the viewpoint of key crew members.[94]","A half-hour documentary that covered one day of production of season 5 on three sets in Belfast, Dubrovnik and Osuna from the viewpoint of key crew members.[94]","A half-hour documentary that covered one day of production of season 5 on three sets in Belfast, Dubrovnik and Osuna from the viewpoint of key crew members.[94]"
2,2,Game of Thrones: The Last Watch,"May 26, 2019",1.63[96],
3,A two-hour documentary which documents the making of season eight.[95],A two-hour documentary which documents the making of season eight.[95],A two-hour documentary which documents the making of season eight.[95],A two-hour documentary which documents the making of season eight.[95],A two-hour documentary which documents the making of season eight.[95]
